                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.66888,                 2.4573,                   1.23,                0.58876,                 5.5474,                 1.2068,                0.00358,                      1,                  0.238,                0.20136,                0.85325,                 3.5644,                 1.6677,                0.53529,                 11.114,                 1.2975,             0.00054244,             0.00054244,             0.00054244
                      2,                0.76495,                  1.559,                 1.2454,                0.70795,                 4.4401,                 1.2198,                 0.0301,                 0.9375,                0.29808,                0.23038,                0.68594,                 2.4871,                 1.5348,                0.56318,                 10.479,                 1.2956,              0.0010872,              0.0010872,              0.0010872
                      3,                0.77749,                 1.3379,                   1.27,                0.81673,                 4.0995,                 1.2857,                0.45673,                0.18511,                0.30349,                0.21152,                0.85698,                 2.6762,                 1.7523,                0.82464,                 9.7158,                 1.7734,               0.001621,               0.001621,               0.001621
                      4,                0.75094,                 1.2853,                 1.2204,                0.81066,                 3.5344,                 1.2481,                0.55337,                0.75408,                0.68859,                0.53688,                0.81656,                 1.9394,                 1.5869,                  0.759,                 7.5961,                 1.6618,              0.0016175,              0.0016175,              0.0016175
                      5,                0.74971,                 1.2071,                 1.2387,                0.82377,                 3.2731,                 1.2701,                0.61511,                0.59866,                0.67107,                0.46959,                0.81169,                 1.7279,                 1.5533,                0.91766,                 6.2832,                 1.6689,              0.0016175,              0.0016175,              0.0016175
                      6,                0.74395,                  1.112,                 1.2325,                0.79369,                 2.8965,                  1.257,                0.83295,                 0.7044,                 0.8601,                0.67256,                 0.7383,                 1.3628,                  1.601,                0.93757,                 5.1232,                 1.8744,               0.001601,               0.001601,               0.001601
                      7,                0.71681,                 1.0411,                   1.22,                0.80842,                 2.5151,                 1.2538,                0.82231,                0.81513,                0.89908,                0.71148,                0.67597,                 1.2676,                 1.4297,                0.87494,                  4.067,                 1.6187,              0.0015845,              0.0015845,              0.0015845
                      8,                0.66913,                0.95226,                 1.1756,                0.76401,                 2.1911,                 1.2166,                0.71534,                0.80435,                0.75857,                0.55314,                0.87399,                 1.8874,                 1.6293,                0.91785,                 4.3041,                 1.7548,               0.001568,               0.001568,               0.001568
                      9,                0.69146,                0.97457,                 1.1913,                0.78677,                 2.1377,                 1.2328,                0.65303,                0.82172,                0.82402,                0.63383,                 1.0882,                 1.3896,                 1.8867,                0.95756,                 3.7135,                  1.758,              0.0015515,              0.0015515,              0.0015515
                     10,                0.68544,                0.89774,                 1.1903,                0.76733,                 1.7984,                 1.2272,                0.69232,                0.84892,                0.86551,                0.72942,                 0.6271,                0.93906,                 1.2709,                0.75331,                 2.9405,                  1.389,               0.001535,               0.001535,               0.001535
